id,title,description,instructions,author/id,image,history/created,history/modified,history/shared,stats/views,stats/loves,stats/favorites,stats/comments,stats/remixes,remix/parent,remix/root
236143037,Getting Unstuck Day 8: Fish Chomp remix,"Seagull and clams from Creative Commons image search.

The Day 8 challenge reminded me of a student activity page in the Creative Computing Curriculum Guide (http://scratched.gse.harvard.edu/guide/) and I wanted to see how it might feel for a student to go through the activity on their own.

I changed the way the user manipulates the big fish (I thought it was awkward to use the mouse from a laptop), and added two new levels. I was trying to recreate a game that I loved when I was little (https://www.youtube.com/watch?v=dZUXImHsEIQ) for level 3.

There are still some buggy things (such as the creepy kind-of-dead-looking seagull), and I hope to come back to this project later to smooth them out!","Guide the big fish with the arrow keys to eat the little fish. See how many little fish you can catch!

Level up at a score of 10, 20, and 30.",19163721,https://cdn2.scratch.mit.edu/get_image/project/236143037_480x360.png,2018-07-11T17:10:33.000Z,2018-07-21T21:01:39.000Z,2018-07-11T18:28:16.000Z,26,12,1,0,0,10859244,10859244
236154094,"Know Your Mollusks! (Getting Unstuck, Day 8)","For Day 8 of gettingunstuck.gse.harvard.edu

I had SO MUCH FUN making this. I was walking down the street with @jsh, when we saw a huge pile of abandoned mussels on the side of the road. I asked @jsh what they were and he said, ""I don't really know my mollusks!"" And thus a project was born!

I used counting in two ways in this project: to determine when the player has reached the target of 10 mollusks, and then to report out the count for each of the 3 types of mollusks at the end (if you win).

I searched for ""harp music"" on Scratch and found @lkaufm's ""Irish Harp Interactive"": https://scratch.mit.edu/projects/53006916/
I found the images from wikimedia, searching for ""illustrations [harpist/cat/clam/etc.]"".","Press the green flag to start. Then, correctly identify 10 mollusks!",39526,https://cdn2.scratch.mit.edu/get_image/project/236154094_480x360.png,2018-07-11T18:57:42.000Z,2018-07-12T18:29:45.000Z,2018-07-12T10:16:11.000Z,48,18,9,0,0,,
236160705,Catch 'em all,"@scmb1 helped me debug the repeated crashing problem - I've learned a lot about background screen refresh! When to use it! When to not! 

The scrolling platformer tutorial from @getbent was incredibly useful. This was my first project with a scrolling background that I made myself, instead of remixing. :) 

With more time, I would also have the clones move with the background...maybe something I'll implement later on a break!","Left and right arrow keys to move around, space to jump. Try to catch all the Pokemon. There are some surprise rare Pokemon that are worth more points! Also Team Rocket is lurking...if you run into them they'll steal your Pokemon!",2745846,https://cdn2.scratch.mit.edu/get_image/project/236160705_480x360.png,2018-07-11T20:21:02.000Z,2018-07-12T11:46:43.000Z,2018-07-11T20:21:21.000Z,35,10,0,0,0,,
236174423,Strong Cat,"This project was created for Day 8 of Getting Unstuck. The essence of today's challenge was to use a counter and make something happen when a particular number is reached. In this case, the counter represents raw feline strength, as expressed through your mouse clicks. 

Update: Now in black and white, for better ambiance. 

Music: James Scott, ""Frog Legs Rag""; Scott Joplin, ""The Entertainer""",Click the green circle and see what happens.,56239,https://cdn2.scratch.mit.edu/get_image/project/236174423_480x360.png,2018-07-12T00:28:03.000Z,2018-07-12T12:05:08.000Z,2018-07-12T10:25:53.000Z,53,11,3,0,0,,
236143048,Playing with Plants!,"Thanks to:
eebeec for the plant sprite!
https://scratch.mit.edu/projects/85226318/#player

I gave myself a challenge to not draw my own sprites. I couldn't find a fitting plant in the sprite library, and @paulinah suggested I take a look at other plant projects for sprites! I was delighted to find the base sprite for this plant by @eebeec! (I did let myself make some (relatively) small costume edits in the paint editor. (and I made the lil drop in the paint editor)

This is my first game (and my first time using clones!) and it was so much fun to make! This definitely feels like the kind of meeting of idea + challenge that I was aspiring for with yesterday's project. Maybe I need a Getting Unstuck strategy that's something like ""Remember Not Every Project Will Feel Good (and they shouldn't!)"" I probably am not taking risks if I love *everything* I make. I LOVE THIS GAME, THO!

That being said, I would like to play around with how much water the plant would like to have for healthy hydration (and the corresponding too dry/too wet feedback). I'd also like to add a ""water level"" meter.

","After pressing the green flag, press the space bar and use the left and right arrow to move the plant to catch water drops to keep the plant well-watered. Be careful not to over or under water!

What ideas do you have for continued work on the game? When playing, what are you wishing were part?",25705937,https://cdn2.scratch.mit.edu/get_image/project/236143048_480x360.png,2018-07-11T17:10:38.000Z,2018-07-13T15:25:47.000Z,2018-07-12T10:50:15.000Z,92,22,6,0,0,,
236208542,Unstuck Day 8: Using Variables,"I made this project in response to the prompt for Challenge #8-using variables- of the Getting Unstuck initiative from the ScratchEd Team:
https://gettingunstuck.gse.harvard.edu
Reflections: Putting this little game together made sense as I went along. The only thing I would like to work on a little is making the trajectory of the objects more erratic as they roll so they would be harder to click on. ",Save the picnic! Click the green flag and follow the instructions to play.,214174,https://cdn2.scratch.mit.edu/get_image/project/236208542_480x360.png,2018-07-12T10:33:34.000Z,2018-07-12T11:30:42.000Z,2018-07-12T11:22:59.000Z,19,6,2,0,0,,
236210619,Getting Unstuck: Day 8,,Use your mouse to move the platform do not let the ball touch the green line. Every 5 points you score the background changes.,24340467,https://cdn2.scratch.mit.edu/get_image/project/236210619_480x360.png,2018-07-12T11:05:31.000Z,2018-07-12T11:52:49.000Z,2018-07-12T11:51:03.000Z,24,11,4,0,0,,
236212665,Getting Unstuck Day 8,"I haven't spent a lot of time with this, but it would be fun to add lots more interactive items that respond to different values for the variable. As I type this I've just had an idea to add the sun sprite to the project so I'll do that now!",Oh it's such a grey day. Help make it brighter by clicking away those clouds. ,4610900,https://cdn2.scratch.mit.edu/get_image/project/236212665_480x360.png,2018-07-12T11:39:17.000Z,2018-07-12T21:07:54.000Z,2018-07-12T12:04:39.000Z,23,9,1,0,0,,
236215446,#GettingUnstuck_8,I´d like to add more animals and different variables,,16962202,https://cdn2.scratch.mit.edu/get_image/project/236215446_480x360.png,2018-07-12T12:20:10.000Z,2018-07-12T12:45:05.000Z,2018-07-12T12:43:53.000Z,12,1,0,0,0,,
236213529,Getting Unstuck Day 8,"I created a variable as a counter to count up to 10 and then the cat runs off the find the mouse.  I am so much more confident with using costumes and timings.
I wanted to use an ""if"" with the counter but I wasn't sure how to do this. Another thing to add to my list of things to try out next week.","Playing hide and seek.
Click the flag to start the cat counting.  Will he find the mouse?",3297086,https://cdn2.scratch.mit.edu/get_image/project/236213529_480x360.png,2018-07-12T11:52:58.000Z,2018-07-12T14:13:34.000Z,2018-07-12T12:45:18.000Z,13,4,0,0,0,,
